R,n,median,lo,hi,frac_pos
32.0,18,1520002577.725,1111836623.6265001,1941689653.6935,1.0
33.5,18,-261184726.4000001,-2382681208.366,2242170503.138,0.5
34.2,18,4690248859.886,-10772345768.435001,31242848907.239998,0.5
34.7,18,-157678193.75935,-1154227974.277225,438336774.05489874,0.5
