delta,smooth,R,Y,M,L0,Lprime
0.005,1000,34.200000000000,0.020,587,1.259403823853e+09,-8.030196583418e+09
0.005,2000,34.200000000000,0.020,587,1.689037416462e+09,-1.076960993068e+10
0.005,5000,34.200000000000,0.020,587,2.014296557856e+09,-1.284351314051e+10
0.01,1000,34.200000000000,0.020,587,1.259403823853e+09,-8.034276464160e+09
0.01,2000,34.200000000000,0.020,587,1.689037416462e+09,-1.077508160619e+10
0.01,5000,34.200000000000,0.020,587,2.014296557856e+09,-1.285003848788e+10
0.02,1000,34.200000000000,0.020,587,1.259403823853e+09,-8.050608426327e+09
0.02,2000,34.200000000000,0.020,587,1.689037416462e+09,-1.079698499082e+10
0.02,5000,34.200000000000,0.020,587,2.014296557856e+09,-1.287615977253e+10
