delta,smooth,R,Y,M,L0,Lprime
0.005,1000,34.700000000000,0.010,1180,9.069379180862e+07,-6.412839549691e+08
0.005,2000,34.700000000000,0.010,1180,1.632361079523e+08,-1.154218960311e+09
0.005,5000,34.700000000000,0.010,1180,2.322510907596e+08,-1.642212039175e+09
0.01,1000,34.700000000000,0.010,1180,9.069379180862e+07,-6.416846092315e+08
0.01,2000,34.700000000000,0.010,1180,1.632361079523e+08,-1.154940077609e+09
0.01,5000,34.700000000000,0.010,1180,2.322510907596e+08,-1.643238035805e+09
0.02,1000,34.700000000000,0.010,1180,9.069379180862e+07,-6.432887284890e+08
0.02,2000,34.700000000000,0.010,1180,1.632361079523e+08,-1.157827250539e+09
0.02,5000,34.700000000000,0.010,1180,2.322510907596e+08,-1.647345869159e+09
