delta,smooth,R,Y,M,L0,Lprime
0.005,1000,33.500000000000,0.020,579,2.796162223677e+08,-1.780539446673e+09
0.005,2000,33.500000000000,0.020,579,3.740830998954e+08,-2.382077677744e+09
0.005,5000,33.500000000000,0.020,579,4.454615985510e+08,-2.836594515748e+09
0.01,1000,33.500000000000,0.020,579,2.796162223677e+08,-1.781441698558e+09
0.01,2000,33.500000000000,0.020,579,3.740830998954e+08,-2.383284738988e+09
0.01,5000,33.500000000000,0.020,579,4.454615985510e+08,-2.838031887009e+09
0.02,1000,33.500000000000,0.020,579,2.796162223677e+08,-1.785053449732e+09
0.02,2000,33.500000000000,0.020,579,3.740830998954e+08,-2.388116654459e+09
0.02,5000,33.500000000000,0.020,579,4.454615985510e+08,-2.843785742869e+09
