delta,smooth,R,Y,M,L0,Lprime
0.005,1000,33.500000000000,0.010,1153,-1.783665410773e+08,1.258169993873e+09
0.005,2000,33.500000000000,0.010,1153,-3.178659119065e+08,2.242170503138e+09
0.005,5000,33.500000000000,0.010,1153,-4.495726265855e+08,3.171201140606e+09
0.01,1000,33.500000000000,0.010,1153,-1.783665410773e+08,1.258952279356e+09
0.01,2000,33.500000000000,0.010,1153,-3.178659119065e+08,2.243564597218e+09
0.01,5000,33.500000000000,0.010,1153,-4.495726265855e+08,3.173172862880e+09
0.02,1000,33.500000000000,0.010,1153,-1.783665410773e+08,1.262084340270e+09
0.02,2000,33.500000000000,0.010,1153,-3.178659119065e+08,2.249146175361e+09
0.02,5000,33.500000000000,0.010,1153,-4.495726265855e+08,3.181067109091e+09
