delta,smooth,R,Y,M,L0,Lprime
0.005,1000,32.000000000000,0.020,562,-1.660750094468e+08,1.051153275537e+09
0.005,2000,32.000000000000,0.020,562,-2.197639792135e+08,1.390972930764e+09
0.005,5000,32.000000000000,0.020,562,-2.599849472340e+08,1.645548242847e+09
0.01,1000,32.000000000000,0.020,562,-1.660750094468e+08,1.051679524855e+09
0.01,2000,32.000000000000,0.020,562,-2.197639792135e+08,1.391669308698e+09
0.01,5000,32.000000000000,0.020,562,-2.599849472340e+08,1.646372072546e+09
0.02,1000,32.000000000000,0.020,562,-1.660750094468e+08,1.053786103165e+09
0.02,2000,32.000000000000,0.020,562,-2.197639792135e+08,1.394456912603e+09
0.02,5000,32.000000000000,0.020,562,-2.599849472340e+08,1.649669866421e+09
