delta,smooth,R,Y,M,L0,Lprime
0.005,1000,34.200000000000,0.010,1169,-2.464287360592e+09,1.741069430319e+10
0.005,2000,34.200000000000,0.010,1169,-4.420699237940e+09,3.123310780992e+10
0.005,5000,34.200000000000,0.010,1169,-6.277254490755e+09,4.435000396610e+10
0.01,1000,34.200000000000,0.010,1169,-2.464287360592e+09,1.742155455223e+10
0.01,2000,34.200000000000,0.010,1169,-4.420699237940e+09,3.125259000456e+10
0.01,5000,34.200000000000,0.010,1169,-6.277254490755e+09,4.437766801428e+10
0.02,1000,34.200000000000,0.010,1169,-2.464287360592e+09,1.746503620253e+10
0.02,2000,34.200000000000,0.010,1169,-4.420699237940e+09,3.133059171233e+10
0.02,5000,34.200000000000,0.010,1169,-6.277254490755e+09,4.448842776385e+10
