delta,smooth,R,Y,M,L0,Lprime
0.005,1000,32.000000000000,0.010,1120,-1.580684292875e+08,1.109784563308e+09
0.005,2000,32.000000000000,0.010,1120,-2.764734261777e+08,1.941091824557e+09
0.005,5000,32.000000000000,0.010,1120,-3.866666709906e+08,2.714744188627e+09
0.01,1000,32.000000000000,0.010,1120,-1.580684292875e+08,1.110468162249e+09
0.01,2000,32.000000000000,0.010,1120,-2.764734261777e+08,1.942287482830e+09
0.01,5000,32.000000000000,0.010,1120,-3.866666709906e+08,2.716416391170e+09
0.02,1000,32.000000000000,0.010,1120,-1.580684292875e+08,1.113205085004e+09
0.02,2000,32.000000000000,0.010,1120,-2.764734261777e+08,1.947074535771e+09
0.02,5000,32.000000000000,0.010,1120,-3.866666709906e+08,2.723111382765e+09
